"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"1825","Atl3",-0.0296632217981156,4.95383429236035,0.0180493029324307,0.893127640552386,0.983064039055549,"grey","grey"
"1826","Atm",0.0346868846620805,6.04836178429431,0.0256863629431425,0.872668660109395,0.977887576728014,"black","YeMaBl"
"1827","Atmin",-0.211142349006603,6.15289590045955,1.6561103478316,0.198129316250727,0.704059009372979,"brown","BrRePi"
"1828","Atn1",0.256146625318587,8.80234316827902,1.17382404579418,0.278616893027393,0.767623559605529,"grey","grey"
"1829","Atoh7",-0.618841994051025,-2.85043943392102,0.487662026339336,0.484972078635132,0.869242110631819,"grey","grey"
"1830","Atoh8",0.249987521404442,3.58089673921564,0.572340349491428,0.449330419747926,0.857003270965664,"blue","blue"
"1831","Atox1",-0.294190745935492,5.82012171154203,1.91187662171968,0.166754949419425,0.678837684947001,"brown","BrRePi"
"1832","Atp10a",0.338419866050088,3.83409734466543,1.30561175364876,0.253190710881658,0.752595158741055,"pink","BrRePi"
"1833","Atp10b",-0.771274952407565,-0.679810320353789,2.20612510432542,0.137463568403177,0.645988153493407,"turquoise","turquoise"
"1834","Atp10d",0.097765120314656,2.19753482154561,0.0763352241703572,0.78232664232016,0.956661589571803,"grey","grey"
"1835","Atp11a",0.272607384013828,6.51829643044981,1.09547308370124,0.295261724049728,0.778763427979238,"black","YeMaBl"
"1836","Atp11b",0.00538191096186892,5.44914327484028,0.000903402715751067,0.976021866665195,0.996942048729018,"yellow","YeMaBl"
"1837","Atp11c",-0.0264730357603285,5.18793222835019,0.0171354871402265,0.895852368596966,0.984081162770726,"black","YeMaBl"
"1838","Atp13a1",0.316986958413338,6.93725499553515,2.28643692008529,0.130509223043101,0.637634077824105,"yellow","YeMaBl"
"1839","Atp13a2",-0.108293209025149,7.5016744718513,0.475541391093507,0.490448854618611,0.870821714710405,"turquoise","turquoise"
"1840","Atp13a3",0.0496642864751605,5.86264486707187,0.0885178555773967,0.766069919337949,0.953947718264814,"turquoise","turquoise"
"1841","Atp13a4",-0.504531992327904,-1.51798697438802,1.00754024862774,0.315492841284516,0.791735863125795,"turquoise","turquoise"
"1842","Atp13a5",-2.35307330500279,-2.16505696616571,12.1351251219447,0.000494809486345121,0.0670487300670629,"turquoise","turquoise"
"1843","Atp1a1",0.187156285804053,7.95066299880209,1.38945414101978,0.238497303758403,0.742152551228465,"grey","grey"
"1844","Atp1a2",-0.605817657377722,5.92202124486362,10.5481148823533,0.00116306648727961,0.103639337638242,"turquoise","turquoise"
"1845","Atp1a3",-0.182082168091955,7.80805051705888,1.18523430794498,0.276292964883218,0.766473246410935,"turquoise","turquoise"
"1846","Atp1b1",-0.707335835965928,5.09031484426306,5.1059955187659,0.0238432924490441,0.36503067910003,"turquoise","turquoise"
"1847","Atp1b2",-0.422860168220875,5.51000694013911,4.44323635193985,0.0350397645607173,0.419964897468948,"turquoise","turquoise"
"1848","Atp1b3",-0.159995122340878,6.60742963068351,0.996776487979774,0.3180917625945,0.792708504248496,"grey","grey"
"1849","Atp2a1",0.299323476289512,-0.546172716012374,0.275740012561277,0.599507055465481,0.907643036671587,"black","YeMaBl"
"1850","Atp2a2",0.0215436001745154,8.33174038488121,0.0192858121140138,0.889550216912774,0.982361941052212,"turquoise","turquoise"
"1851","Atp2a3",-0.352061932333754,1.04701008152941,0.773400013674656,0.379167281734914,0.823953104364723,"turquoise","turquoise"
"1852","Atp2b1",-0.204017210786722,6.28808245873337,1.69758717610641,0.192603824382142,0.701296589812059,"turquoise","turquoise"
"1853","Atp2b2",-0.504204465503393,4.95124763697849,4.84232228699912,0.0277694747981155,0.388820075823998,"turquoise","turquoise"
"1854","Atp2b3",-1.09045943237196,2.41535831589101,9.17401949417888,0.00245474844257028,0.152572530869223,"turquoise","turquoise"
"1855","Atp2b4",-0.373432548842635,6.23577674976116,3.58250961006063,0.0583908759882416,0.504826130989762,"turquoise","turquoise"
"1856","Atp2c1",-0.312143662437218,6.2375084178899,3.28101064299901,0.0700857587149725,0.531510684500782,"turquoise","turquoise"
"1857","Atp2c2",0.347652416640597,0.809467486843565,0.0889629880498894,0.765499664178132,0.953947718264814,"green","green"
"1858","Atp4a",0.505503023447417,0.474396265928997,1.68119045049909,0.194766344730615,0.701398703204885,"turquoise","turquoise"
"1859","Atp5a1",0.117610894000278,10.1159622442735,0.383199812952099,0.535895706105566,0.890949705668917,"red","BrRePi"
"1860","Atp5b",0.0172143457302573,10.5318522802009,0.00731801512213548,0.931827805320417,0.988678284183246,"red","BrRePi"
"1861","Atp5c1",0.0191067274077268,7.82701691601735,0.0125157303943562,0.910923530034107,0.985386248636058,"grey","grey"
"1862","Atp5d",0.0679283889682272,8.46525989630703,0.181405819796651,0.670167874536995,0.930719161898025,"red","BrRePi"
"1863","Atp5e",-0.103379012036194,6.71120586346775,0.231335805520786,0.630535112971748,0.918057910923923,"brown","BrRePi"
"1864","Atp5f1",-0.0501934292583873,6.98080281979359,0.0707538984558713,0.790242251349869,0.959072068219842,"brown","BrRePi"
"1865","Atp5g1",-0.0396848752123804,2.11260279176344,0.0117479694981721,0.913687879585895,0.985386248636058,"grey","grey"
"1866","Atp5g2",0.483359197308745,-0.369900577164559,1.06899061296426,0.301173553750223,0.782791468895084,"grey","grey"
"1867","Atp5g3",-0.17570799194398,8.10890989937339,1.07683852793225,0.299405876924065,0.78164662123918,"brown","BrRePi"
"1868","Atp5h",-0.119241599108172,5.12784605465278,0.283538263944848,0.594391435780773,0.905963766492874,"grey","grey"
"1869","Atp5j",-0.239380037956749,6.38564581552049,1.73454128390275,0.187831971159842,0.696824734502099,"brown","BrRePi"
"1870","Atp5j2",-0.1372701400517,6.93629571066981,0.589926833134653,0.442447413284294,0.85235199015501,"brown","BrRePi"
"1871","Atp5k",-0.210295819068012,6.16881358566613,1.20976320095477,0.271379024407277,0.763401484519543,"brown","BrRePi"
"1872","Atp5l",-0.170802330734917,-1.88948530702392,0.0896689736942209,0.764598409500494,0.953947718264814,"grey","grey"
"1873","Atp5o",-0.273061218107588,7.6853711041283,2.83636667239803,0.0921523707989229,0.569990242833454,"brown","BrRePi"
"1874","Atp5s",-0.184494752575176,2.46346709297971,0.314896069078601,0.574691187436824,0.901092985634178,"turquoise","turquoise"
