"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"1","0610005C13Rik",0.605884089650908,-0.652410264375062,4.56766033801281,0.0325810338507483,0.426221231103485,"grey","grey"
"2","0610007P14Rik",-0.0574134491170166,5.58347372417095,0.194902556859258,0.658867204381076,0.928996158682891,"grey","grey"
"3","0610009B22Rik",0.0916034914657669,3.71641622206928,0.207606584253242,0.648649841382764,0.925210540619599,"brown","BrRePi"
"4","0610009L18Rik",0.249185906858246,1.24159516187439,1.57182215100323,0.209942590437246,0.723304905627118,"brown","BrRePi"
"5","0610009O20Rik",0.0476873873212128,5.54822969400539,0.195899392591253,0.658051298767509,0.928883100697987,"blue","blue"
"6","0610010F05Rik",-0.171386859654571,7.15261792203893,2.21871906090129,0.136346142537727,0.642006072774114,"turquoise","turquoise"
"7","0610010K14Rik",-0.0312001294093595,5.84506234362279,0.0732483430850728,0.786664611971481,0.959447205663695,"blue","blue"
"8","0610011F06Rik",0.0346695379359536,4.25621356097753,0.075568629451352,0.783394996355872,0.958496032005882,"red","BrRePi"
"9","0610012G03Rik",-0.0471820513324541,5.87656131101759,0.102610933639561,0.748718627599145,0.950335022404547,"brown","BrRePi"
"10","0610030E20Rik",0.147452277919876,4.67959357498268,1.46459042350039,0.226201146345453,0.733525357511964,"pink","BrRePi"
"11","0610031J06Rik",0.117747319673316,4.67903077328762,0.907061429116224,0.340895312130204,0.806138804439303,"grey","grey"
"12","0610037L13Rik",0.0785903419302128,5.00902830033428,0.455356150422526,0.499802317584121,0.885865347490132,"red","BrRePi"
"13","0610038B21Rik",-0.00259576793339036,-2.83872064218239,3.48444652509272e-06,0.998510615906774,0.999909064227688,"grey","grey"
"14","0610039K10Rik",-0.056547321336125,-3.02680858677364,0.00868675349931358,0.925742485916721,0.9890473714706,"grey","grey"
"15","0610040B10Rik",0.436880920271022,0.991391179716932,3.73930256778327,0.053146624174171,0.488282096678364,"grey","grey"
"16","0610040J01Rik",0.283173542754156,1.57567602498469,1.32099611841857,0.250413356812853,0.750346731329427,"turquoise","turquoise"
"17","0610043K17Rik",-0.34608253543768,-2.27557135609339,0.490953246764544,0.483502390802976,0.880739792546225,"grey","grey"
"18","1110001J03Rik",0.0417803825877582,4.15325405108883,0.0910857525641706,0.762801357459319,0.953098323104211,"brown","BrRePi"
"19","1110002L01Rik",-0.451296915755977,1.41609816560323,6.8078808240215,0.00907564100677009,0.342175238005547,"brown","BrRePi"
"20","1110004E09Rik",0.000359005887737912,4.86395905040662,6.09018603370259e-06,0.99803095836112,0.999909064227688,"grey","grey"
"21","1110004F10Rik",-0.128829287531605,6.8809007378635,0.679802180856299,0.409654850745104,0.847876492661694,"brown","BrRePi"
"22","1110006O24Rik",0.335347881073115,0.201130571851329,2.34012379547583,0.126079534057324,0.627677344709118,"blue","blue"
"23","1110007C09Rik",0.212585079598003,2.5897022579932,1.45983844232406,0.226955828011841,0.733525357511964,"grey","grey"
"24","1110008F13Rik",0.0571286332323725,4.47620866482728,0.129457904211018,0.718994765736552,0.946561537616398,"brown","BrRePi"
"25","1110008L16Rik",-0.0244345378122222,3.42773329569798,0.0317544596347501,0.858567629244229,0.977944981671609,"blue","blue"
"26","1110008P14Rik",-0.0147287593624576,5.07922612643935,0.00919628463995537,0.923602170074483,0.9890473714706,"turquoise","turquoise"
"27","1110012L19Rik",-0.143417000358829,4.09715041045313,0.486772275860702,0.485370662042563,0.88096392532646,"brown","BrRePi"
"28","1110015O18Rik",-0.110744729393074,2.28651181954175,0.211820426949824,0.645344298451044,0.924460419081065,"grey","grey"
"29","1110017D15Rik",0.589124421922038,2.21116355516325,10.1616033005065,0.00143395862451266,0.274286827919939,"grey","grey"
"30","1110019D14Rik",0.581111091173406,-0.106273802273877,6.19881808808335,0.0127835649457361,0.357443957311274,"grey","grey"
"31","1110020A21Rik",0.259329295871119,-0.441128916442133,0.926059448207324,0.335888972740303,0.804699459569829,"blue","blue"
"32","1110032A03Rik",0.110825223894368,4.60733568709206,0.585704335632302,0.444085049530905,0.868075325621917,"grey","grey"
"33","1110032F04Rik",0.194387748453076,3.01156852745479,1.47242700442788,0.224963157157245,0.733036215184185,"turquoise","turquoise"
"34","1110034G24Rik",0.0966628924373844,3.17794234587453,0.453434057433856,0.500708670484198,0.886227808889979,"brown","BrRePi"
"35","1110037F02Rik",0.0300718035089487,6.07282731274579,0.0995134207304798,0.752414331306759,0.950342833269915,"blue","blue"
"36","1110038B12Rik",0.196903504534839,5.4024869008398,2.26505973531652,0.132321109888513,0.634802097657833,"red","BrRePi"
"37","1110038F14Rik",0.0888948684432674,4.33701827027091,0.519353783836751,0.471117469635577,0.877224434716229,"blue","blue"
"38","1110046J04Rik",-0.276310867527521,-0.644158152469072,1.27504943700702,0.258821541975777,0.755544241230641,"turquoise","turquoise"
"39","1110051M20Rik",-0.121582031267296,6.64673861540011,0.917626523209556,0.33809894244553,0.804970209741849,"turquoise","turquoise"
"40","1110054M08Rik",0.00883948050992756,0.926233902898736,0.00189634218774515,0.965265490497004,0.996780565403566,"grey","grey"
"41","1110057K04Rik",-0.146230378001357,5.71545421922858,1.43719798738256,0.230593305693938,0.735760891827236,"grey","grey"
"42","1110058L19Rik",0.189454801938806,3.76291758092074,0.670038244266522,0.41303827366195,0.850589740133615,"brown","BrRePi"
"43","1110059E24Rik",0.0201046269979744,4.45020164294831,0.0112405981677313,0.915565145224431,0.988773714349224,"grey","grey"
"44","1110059G10Rik",0.0412259627717451,4.27240115677376,0.0399959422890355,0.841488515022191,0.973345436933513,"grey","grey"
"45","1110065P20Rik",0.0912811432150857,3.55271108411766,0.318476740936664,0.572524509010544,0.905743266207362,"brown","BrRePi"
"46","1190002F15Rik",0.200930997304188,1.24674424924669,0.696073500530192,0.404106208646792,0.84452106735743,"blue","blue"
"47","1190002N15Rik",-0.0406026750473171,4.42045121208858,0.111298305369203,0.738670847543663,0.950126762528581,"blue","blue"
"48","1190005I06Rik",-0.0135353438128075,3.32209793847615,0.00743575493517845,0.931282928284885,0.989858681718125,"turquoise","turquoise"
"49","1190007I07Rik",-0.0162477944744228,2.36258449220768,0.00965468188640628,0.921727236675994,0.9890473714706,"red","BrRePi"
"50","1200014J11Rik",-0.0271117864879246,5.20053827305543,0.0757169080121596,0.783187896805566,0.958496032005882,"blue","blue"
"51","1300002E11Rik",0.082854020714772,3.11930013148059,0.254450813899586,0.613958412903628,0.918195312727142,"magenta","YeMaBl"
"52","1300002K09Rik",0.282898054303584,1.43330098075496,0.58758292066069,0.443355313302036,0.868075325621917,"grey","grey"
"53","1300017J02Rik",1.46154642115894,-1.91725876791984,7.35740842311913,0.00667869863982646,0.326342741055692,"grey","grey"
"54","1500004A13Rik",-0.140126971562918,3.45418455882269,0.863333186255504,0.352807601140386,0.812048665077388,"grey","grey"
"55","1500009C09Rik",-0.148027799067121,6.37548601614331,1.36947591342295,0.241901949428366,0.743780782707911,"turquoise","turquoise"
"56","1500009L16Rik",0.0195639780232377,4.62548903885934,0.0150605699470177,0.902327627098818,0.986130838856944,"turquoise","turquoise"
"57","1500011B03Rik",0.0122131474924958,6.65196699805918,0.00643081335581286,0.936084272611953,0.990646453108828,"yellow","YeMaBl"
"58","1500011K16Rik",0.24414780964911,3.50873778160559,1.3951008918484,0.237545566352717,0.742491908526377,"brown","BrRePi"
